ServerName,Database,Table,Column
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,DB_TXN_SCNBAS
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,DB_TXN_SCNWRP
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,CURRENT_BUILD_STATE
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,COMPLETION_STATUS
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,MARKED_LOG_FILE_LOW_SCN
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,CDB_XID
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,SPARE1
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,SPARE2
Oracle,localhost,XE,LOGMNRG_LOGMNR_BUILDLOG,INITIAL_XID
Oracle,localhost,XE,LOGMNRG_SHARD_TS,TABLESPACE_NAME
Oracle,localhost,XE,LOGMNRG_SHARD_TS,CHUNK_NUMBER
Oracle,localhost,XE,SYS_FBA_FA,FANAME
Oracle,localhost,XE,SYS_FBA_FA,FA#
Oracle,localhost,XE,SYS_FBA_FA,RETENTION
Oracle,localhost,XE,SYS_FBA_FA,CREATESCN
Oracle,localhost,XE,SYS_FBA_FA,PURGESCN
Oracle,localhost,XE,SYS_FBA_FA,FLAGS
Oracle,localhost,XE,SYS_FBA_FA,SPARE1
Oracle,localhost,XE,SYS_FBA_FA,SPARE2
Oracle,localhost,XE,SYS_FBA_FA,OWNERNAME
Oracle,localhost,XE,SYS_FBA_TSFA,FA#
Oracle,localhost,XE,SYS_FBA_TSFA,TS#
Oracle,localhost,XE,SYS_FBA_TSFA,QUOTA
Oracle,localhost,XE,SYS_FBA_TSFA,FLAGS
Oracle,localhost,XE,SYS_FBA_TSFA,SPARE
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,OBJ#
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,FA#
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,DROPSCN
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,OBJNAME
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,OWNERNAME
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,FLAGS
Oracle,localhost,XE,SYS_FBA_TRACKEDTABLES,SPARE
Oracle,localhost,XE,SYS_FBA_PARTITIONS,OBJ#
Oracle,localhost,XE,SYS_FBA_PARTITIONS,PARTITIONSCN
Oracle,localhost,XE,SYS_FBA_PARTITIONS,FLAGS
Oracle,localhost,XE,SYS_FBA_PARTITIONS,SPARE
Oracle,localhost,XE,SYS_FBA_USERS,FA#
Oracle,localhost,XE,SYS_FBA_USERS,USER#
Oracle,localhost,XE,SYS_FBA_USERS,FLAGS
Oracle,localhost,XE,SYS_FBA_BARRIERSCN,INST_ID
Oracle,localhost,XE,SYS_FBA_BARRIERSCN,BARRIERSCN
Oracle,localhost,XE,SYS_FBA_BARRIERSCN,ACTIVESCN
Oracle,localhost,XE,SYS_FBA_BARRIERSCN,STATUS
Oracle,localhost,XE,SYS_FBA_BARRIERSCN,SPARE
Oracle,localhost,XE,SYS_FBA_DL,OBJN
Oracle,localhost,XE,SYS_FBA_DL,LROWID
Oracle,localhost,XE,SYS_FBA_DL,HROWID
Oracle,localhost,XE,SYS_FBA_DL,USN
Oracle,localhost,XE,SYS_FBA_DL,SLOT
Oracle,localhost,XE,SYS_FBA_DL,SEQ
Oracle,localhost,XE,SYS_FBA_DL,CSCN
Oracle,localhost,XE,SYS_FBA_CONTEXT,XID
Oracle,localhost,XE,SYS_FBA_CONTEXT,NAMESPACE
Oracle,localhost,XE,SYS_FBA_CONTEXT,PARAMETER
Oracle,localhost,XE,SYS_FBA_CONTEXT,VALUE
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,XID
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,ACTION
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,AUTHENTICATED_IDENTITY
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,CLIENT_IDENTIFIER
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,CLIENT_INFO
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,CURRENT_EDITION_NAME
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,CURRENT_SCHEMA
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,CURRENT_USER
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,DATABASE_ROLE
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,DB_NAME
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,GLOBAL_UID
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,HOST
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,IDENTIFICATION_TYPE
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,INSTANCE_NAME
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,IP_ADDRESS
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,MODULE
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,OS_USER
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SERVER_HOST
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SERVICE_NAME
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SESSION_EDITION_NAME
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SESSION_USER
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SESSION_USERID
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SESSIONID
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,TERMINAL
Oracle,localhost,XE,SYS_FBA_CONTEXT_AUD,SPARE
Oracle,localhost,XE,SYS_FBA_CONTEXT_LIST,NAMESPACE
Oracle,localhost,XE,SYS_FBA_CONTEXT_LIST,PARAMETER
Oracle,localhost,XE,SYS_FBA_APP,APPNAME
Oracle,localhost,XE,SYS_FBA_APP,APP#
Oracle,localhost,XE,SYS_FBA_APP,FA#
